entry_time_ms,exit_time_ms,entry_price,exit_price,quantity,profit_loss,total_fees,reported_duration,order_ids
1737125100000,1737129600000,586.125971424,588.072645846,170,330.93,2.00,01:15:00,1;2
1738182600000,1738250100000,593.204787504,593.519401552,168,52.86,2.00,18:45:00,3;4
1738682100000,1738686600000,590.353597694,591.838182733,169,250.89,2.00,01:15:00,5;6
1738938660000,1738943100000,596.616383587,594.276441605,168,-393.11,2.00,01:14:00,7;8
1741196700000,1741201200000,569.441595191,571.663556905,175,388.84,2.00,01:15:00,9;10
1741371300000,1741375800000,563.837532461,566.865692673,178,539.01,2.00,01:15:00,11;12
1741717800000,1741722300000,549.060503894,550.08299955,183,187.12,2.00,01:15:00,13;14
1741959900000,1741964400000,548.834375047,550.820376225,184,365.42,2.00,01:15:00,15;16
1744047000000,1744051500000,498.614687128,499.600812728,203,200.18,2.03,01:15:00,17;18
1744119900000,1744124400000,512.48947432,510.655280704,198,-363.17,2.00,01:15:00,19;20
1744379100000,1744383600000,518.297754104,515.881746384,195,-471.12,2.00,01:15:00,21;22
1744898400000,1744902900000,521.394188488,520.940570712,193,-87.55,2.00,01:15:00,23;24
1745347500000,1745415060000,518.771094392,532.892412984,194,2739.54,2.00,18:46:00,25;26
1745503200000,1745507700000,531.995038688,535.9592636,194,769.06,2.00,01:15:00,27;28
1746193500000,1746198000000,556.904571344,557.930141968,187,191.78,2.00,01:15:00,29;30
1746647100000,1746714600000,554.182864688,556.608733664,188,456.06,2.00,18:45:00,31;32
1748353500000,1748358000000,577.485012616,579.871436568,181,431.94,2.00,01:15:00,33;34
1748527200000,1748531700000,583.036899744,581.41965376,180,-291.10,2.00,01:15:00,35;36
1748629800000,1748634300000,580.117967968,581.705630184,180,285.78,2.00,01:15:00,37;38
1749217500000,1749222000000,592.089532752,590.965349568,177,-198.98,2.00,01:15:00,39;40
1750256100000,1750260600000,591.764111304,591.793695072,177,5.24,2.00,01:15:00,41;42
1751291100000,1751295600000,609.64493404,609.2493176,172,-68.05,2.00,01:15:00,43;44
1752068700000,1752073200000,617.230879277,614.619810773,170,-443.88,2.00,01:15:00,45;46
1754315100000,1754319600000,620.900221758,622.294769709,168,234.28,2.00,01:15:00,47;48
1754659860000,1754664300000,627.131180688,629.52466015,167,399.71,2.00,01:14:00,49;50
1755870300000,1755874800000,632.39287934,638.564495804,166,1024.49,2.00,01:15:00,51;52
1756992660000,1756997100000,637.357865662,638.267783474,166,151.05,2.00,01:14:00,53;54
1757598300000,1757602800000,646.704304057,649.443947904,164,449.30,2.00,01:15:00,55;56
1760364000000,1760368500000,657.433313904,656.024981618,162,-228.15,2.00,01:15:00,57;58
1760710500000,1760715000000,657.671341896,653.991825853,162,-596.08,2.00,01:15:00,59;60
1763564400000,1763568900000,660.210307144,656.848161757,160,-537.94,2.00,01:15:00,61;62
1763584200000,1763651700000,658.058137383,667.628846228,160,1531.31,2.00,18:45:00,63;64
1763743500000,1763748000000,651.948752255,654.745581161,164,458.68,2.00,01:15:00,65;66
1764085500000,1764090000000,664.911359986,666.200678276,161,207.58,2.00,01:15:00,67;68
1766069100000,1766073600000,670.733127957,674.442397499,160,593.48,2.00,01:15:00,69;70
1766155500000,1766160000000,675.818978445,675.37135692,160,-71.62,2.00,01:15:00,71;72
