Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2025-01-17T14:45:00Z,SPY,586.125971424,170,Market,Filled,99641.41514208,""
2025-01-17T16:00:00Z,SPY,588.072645846,-170,Market,Filled,-99972.34979382,"Liquidated"
2025-01-29T20:30:00Z,SPY,593.204787504,168,Market,Filled,99658.404300672,""
2025-01-30T15:15:00Z,SPY,593.519401552,-168,Market,Filled,-99711.259460736,"Liquidated"
2025-02-04T15:15:00Z,SPY,590.353597694,169,Market,Filled,99769.758010286,""
2025-02-04T16:30:00Z,SPY,591.838182733,-169,Market,Filled,-100020.65288188,"Liquidated"
2025-02-06T21:00:00Z,SPY,596.616383587,168,Market On Open,Filled,100231.55244262,""
2025-02-07T15:45:00Z,SPY,594.276441605,-168,Market,Filled,-99838.44218964,"Liquidated"
2025-03-05T17:45:00Z,SPY,569.441595191,175,Market,Filled,99652.279158425,""
2025-03-05T19:00:00Z,SPY,571.663556905,-175,Market,Filled,-100041.12245838,"Liquidated"
2025-03-07T18:15:00Z,SPY,563.837532461,178,Market,Filled,100363.08077806,""
2025-03-07T19:30:00Z,SPY,566.865692673,-178,Market,Filled,-100902.09329579,"Liquidated"
2025-03-11T18:30:00Z,SPY,549.060503894,183,Market,Filled,100478.0722126,""
2025-03-11T19:45:00Z,SPY,550.08299955,-183,Market,Filled,-100665.18891765,"Liquidated"
2025-03-14T13:45:00Z,SPY,548.834375047,184,Market,Filled,100985.52500865,""
2025-03-14T15:00:00Z,SPY,550.820376225,-184,Market,Filled,-101350.9492254,"Liquidated"
2025-04-07T17:30:00Z,SPY,498.614687128,203,Market,Filled,101218.78148698,""
2025-04-07T18:45:00Z,SPY,499.600812728,-203,Market,Filled,-101418.96498378,"Liquidated"
2025-04-08T13:45:00Z,SPY,512.48947432,198,Market,Filled,101472.91591536,""
2025-04-08T15:00:00Z,SPY,510.655280704,-198,Market,Filled,-101109.74557939,"Liquidated"
2025-04-11T13:45:00Z,SPY,518.297754104,195,Market,Filled,101068.06205028,""
2025-04-11T15:00:00Z,SPY,515.881746384,-195,Market,Filled,-100596.94054488,"Liquidated"
2025-04-17T14:00:00Z,SPY,521.394188488,193,Market,Filled,100629.07837818,""
2025-04-17T15:15:00Z,SPY,520.940570712,-193,Market,Filled,-100541.53014742,"Liquidated"
2025-04-22T18:45:00Z,SPY,518.771094392,194,Market,Filled,100641.59231205,""
2025-04-22T20:00:00Z,SPY,532.892412984,-194,Market On Open,Filled,-103381.1281189,"Liquidated"
2025-04-24T14:00:00Z,SPY,531.995038688,194,Market,Filled,103207.03750547,""
